エジプト革命,エジプト革命,17.6571579354573
—,—,1.12634274136528
アラブ世界,アラブ世界,17.6571579354573
変動,変動,12.1571579354573
行方,行方,12.1571579354573
民衆,民衆,12.9180600174685
体制,体制,8.57446469974802
打倒,打倒,15.823824602124
ムバーラク,ムバーラク,17.6571579354573
バーテル,バーテル,17.6571579354573
駄目,駄目,17.6571579354573
大小,大小,17.6571579354573
様々,様々,10.4945251768417
革命,革命,9.73362309483046
経験,経験,8.10649343180422
エジプト,エジプト,14.7513933508018
近現代史,近現代史,13.4002897614971
二,二,4.64409911669633
〇,〇,5.32263710209143
一,一,3.71038569358301
年,年,5.01665870272606
政治,政治,6.69881140904078
暴力,暴力,12.5103405783517
腐敗,腐敗,13.4002897614971
宗教,宗教,9.86929082747739
者,者,5.4767549208703
一般市民,一般市民,17.6571579354573
地道,地道,13.4002897614971
抵抗運動,抵抗運動,17.6571579354573
結実,結実,13.9904912687906
アメリカ,アメリカ,7.96725386754317
駆け引き,駆け引き,13.4002897614971
パレスチナ問題,パレスチナ問題,17.6571579354573
影響,影響,7.83497926032414
大国,大国,10.4945251768417
新た,新た,8.03595749414405
国,国,6.61615027823846
づくり,づくり,10.1634760598317
模索,模索,11.8456287661464
1,1,0.360339518123298
章,章,0.685280223854099
系譜,系譜,11.3148666346222
結束,結束,15.823824602124
声,声,9.14342158753696
言葉の力,言葉の力,17.6571579354573
騒乱,騒乱,17.6571579354573
起点,起点,17.6571579354573
九,九,7.15597043542476
六,六,8.17896209947972
八,八,7.31008825420363
冬の時代,冬の時代,17.6571579354573
春,春,11.8456287661464
2,2,0.352706205730482
背景,背景,9.36396101601943
の,の,1.56401653130914
期待,期待,11.8456287661464
抑圧,抑圧,13.9904912687906
ピラミッド,ピラミッド,15.823824602124
歴史,歴史,4.95080614992533
起原,起原,17.6571579354573
3,3,0.40272112410183
ナセル,ナセル,17.6571579354573
七月革命,七月革命,17.6571579354573
再,再,9.36396101601943
検討,検討,12.5103405783517
軍,軍,11.3148666346222
管理,管理,9.14342158753696
ムスリム同胞団,ムスリム同胞団,17.6571579354573
迷い,迷い,13.9904912687906
憲法改正,憲法改正,17.6571579354573
動き,動き,10.323824602124
共和,共和,17.6571579354573
制,制,10.8730184521986
道,道,7.31008825420363
クスクス,クスクス,17.6571579354573
謎,謎,7.64819996795558
人,人,3.43986418149093
粒,粒,15.823824602124
パスタ,パスタ,17.6571579354573
魅力,魅力,9.14342158753696
北アフリカ,北アフリカ,15.823824602124
発祥,発祥,14.7513933508018
起源,起源,10.8730184521986
まま,まま,9.73362309483046
自由自在,自由自在,15.823824602124
姿,姿,7.58876059218622
移動,移動,13.4002897614971
国境,国境,12.1571579354573
土地,土地,11.8456287661464
伝統,伝統,9.86929082747739
食,食,9.73362309483046
なか,なか,7.1065308481576
人々,人々,7.58876059218622
魅了,魅了,12.9180600174685
正体,正体,9.48153330128891
民族,民族,12.9180600174685
多様性,多様性,12.9180600174685
豊か,豊か,8.84367391168502
さ,さ,5.58472668413517
